gene	log2fc	padj
GENE0000	-0.2161	0.000572158
GENE0001	-0.2594	0.000248233
GENE0002	-0.1914	0.0633591
GENE0003	-2.2460	5.71288e-06
GENE0004	-0.3254	0.000228509
GENE0005	0.1738	0.0065221
GENE0006	0.9850	0.0178379
GENE0007	0.1658	0.0088186
GENE0008	0.3695	0.0429258
GENE0009	1.9666	1.7837e-10
GENE0010	0.7977	0.00134028
GENE0011	-2.1803	5.84376e-05
GENE0012	1.3101	7.39908e-06
GENE0013	-0.3609	8.74984e-06
GENE0014	1.1735	0.0424395
GENE0015	-1.6698	0.0283565
GENE0016	-3.9299	0.00205315
GENE0017	-0.9103	0.00928719
GENE0018	0.9964	0.0551364
GENE0019	-1.8286	0.0111113
GENE0020	-0.1294	0.000269752
GENE0021	-0.4408	0.000701329
GENE0022	0.9576	1.04066e-05
GENE0023	0.5248	0.000597055
GENE0024	-0.9405	0.00187783
GENE0025	-1.0761	0.000192661
GENE0026	-0.3752	0.0176358
GENE0027	3.5036	0.0137671
GENE0028	1.1527	7.1291e-05
GENE0029	2.1328	0.00207321
GENE0030	2.1395	0.00962197
GENE0031	-0.1410	0.0219677
GENE0032	1.4293	0.000275237
GENE0033	-2.1655	1.06178e-07
GENE0034	-0.4734	0.000198147
GENE0035	1.0854	0.0790461
GENE0036	0.9300	0.0184556
GENE0037	-0.9141	0.00245
GENE0038	1.4284	0.000492264
GENE0039	-0.8502	0.00036997
GENE0040	-1.0852	0.0116787
GENE0041	-0.4405	0.0649775
GENE0042	-0.8516	0.0990187
GENE0043	0.6236	0.0067401
GENE0044	0.3920	1.44551e-05
GENE0045	0.2520	0.0154991
GENE0046	0.4105	1.62874e-06
GENE0047	-1.5164	0.00212091
GENE0048	1.8404	0.0889236
GENE0049	-0.0449	0.0548995
GENE0050	2.3896	0.0215973
GENE0051	0.1727	0.00831383
GENE0052	-0.2265	1.5485e-05
GENE0053	2.1350	0.00357289
GENE0054	-3.5638	0.0588471
GENE0055	1.0664	0.000481272
GENE0056	-0.9411	0.0693705
GENE0057	-0.0035	0.0574265
GENE0058	-0.6417	0.0137526
GENE0059	2.0427	5.45682e-05
GENE0060	0.1467	0.036755
GENE0061	-1.8619	0.00791156
GENE0062	1.3278	1.43901e-08
